(10, 11) (12, 13) (15, 16) (11, 13)
(10, 11) (12, 13) (15, 16) (2, 6)
(10, 11) (12, 13) (15, 16) (15, 18)
(10, 11) (12, 13) (15, 16) (2, 15)
(10, 11) (12, 13) (15, 16) (6, 19)
(10, 11) (12, 13) (15, 16) (11, 23)
(10, 11) (12, 13) (15, 16) (6, 24)
(10, 11) (12, 13) (15, 16) (22, 25)
(10, 11) (12, 13) (15, 16) (2, 27)
(10, 11) (12, 13) (15, 16) (11, 27)
(10, 11) (12, 13) (15, 16) (22, 26)
(10, 11) (12, 13) (15, 16) (5, 36)
(10, 11) (12, 13) (15, 16) (13, 32)
(10, 11) (12, 13) (15, 16) (5, 38)
(10, 11) (12, 13) (15, 16) (13, 34)
(10, 11) (12, 13) (15, 16) (7, 40)
(10, 11) (12, 13) (15, 16) (19, 30)
(10, 11) (12, 13) (15, 16) (4, 44)
(10, 11) (12, 13) (15, 16) (3, 45)
(10, 11) (12, 13) (15, 16) (3, 45)
(10, 11) (12, 13) (15, 16) (24, 26)
(10, 11) (12, 13) (15, 16) (20, 30)
(10, 11) (12, 13) (15, 16) (5, 48)
(10, 11) (12, 13) (15, 16) (16, 37)
(10, 11) (12, 13) (15, 16) (12, 43)
(10, 11) (12, 13) (15, 16) (16, 41)
(10, 11) (12, 13) (15, 16) (15, 44)
(10, 11) (12, 13) (15, 16) (19, 39)
(10, 11) (12, 13) (15, 16) (17, 45)
(10, 11) (12, 13) (15, 16) (20, 43)
(10, 11) (12, 13) (15, 16) (19, 47)
(10, 11) (12, 13) (15, 16) (21, 40)
(10, 11) (12, 13) (15, 16) (22, 42)
(10, 11) (12, 13) (15, 16) (26, 44)
(10, 11) (12, 13) (15, 16) (26, 36)
(10, 11) (12, 13) (15, 16) (28, 44)
(10, 11) (12, 13) (15, 16) (29, 49)
(10, 11) (12, 13) (15, 16) (29, 48)
(10, 11) (12, 13) (15, 16) (27, 35)
(10, 11) (12, 13) (15, 16) (31, 41)
(10, 11) (12, 13) (15, 16) (35, 45)
(10, 11) (12, 13) (15, 16) (35, 38)
(10, 11) (12, 13) (15, 16) (36, 37)
(10, 11) (12, 13) (15, 16) (38, 36)
(10, 11) (12, 13) (15, 16) (50, 46)
(10, 11) (12, 13) (15, 16) (50, 46)
(10, 11) (12, 13) (15, 16) (47, 41)
(10, 11) (12, 13) (15, 16) (37, 33)
(10, 11) (12, 13) (15, 16) (42, 36)
(10, 11) (12, 13) (15, 16) (38, 32)
(10, 11) (12, 13) (15, 16) (44, 33)
(10, 11) (12, 13) (15, 16) (45, 33)
(10, 11) (12, 13) (15, 16) (38, 29)
(10, 11) (12, 13) (15, 16) (37, 28)
(10, 11) (12, 13) (15, 16) (50, 29)
(10, 11) (12, 13) (15, 16) (34, 26)
(10, 11) (12, 13) (15, 16) (34, 25)
(10, 11) (12, 13) (15, 16) (35, 25)
(10, 11) (12, 13) (15, 16) (48, 22)
(10, 11) (12, 13) (15, 16) (31, 24)
(10, 11) (12, 13) (15, 16) (44, 20)
(10, 11) (12, 13) (15, 16) (42, 20)
(10, 11) (12, 13) (15, 16) (36, 19)
(10, 11) (12, 13) (15, 16) (45, 13)
(10, 11) (12, 13) (15, 16) (34, 19)
(10, 11) (12, 13) (15, 16) (50, 8)
(10, 11) (12, 13) (15, 16) (47, 6)
(10, 11) (12, 13) (15, 16) (33, 18)
(10, 11) (12, 13) (15, 16) (43, 6)
(10, 11) (12, 13) (15, 16) (37, 12)
(10, 11) (12, 13) (15, 16) (38, 9)
(10, 11) (12, 13) (15, 16) (42, 4)
(10, 11) (12, 13) (15, 16) (33, 15)
(10, 11) (12, 13) (15, 16) (34, 11)
(10, 11) (12, 13) (15, 16) (33, 12)
(10, 11) (12, 13) (15, 16) (35, 3)
(10, 11) (12, 13) (15, 16) (33, 3)
(10, 11) (12, 13) (15, 16) (30, 7)
(10, 11) (12, 13) (15, 16) (29, 2)
(10, 11) (12, 13) (15, 16) (27, 3)
(10, 11) (12, 13) (15, 16) (27, 2)
(10, 11) (12, 13) (15, 16) (25, 6)
(10, 11) (12, 13) (15, 16) (25, 6)
(10, 11) (12, 13) (15, 16) (23, 12)
(10, 11) (12, 13) (15, 16) (24, 20)
(10, 11) (12, 13) (15, 16) (21, 10)
(10, 11) (12, 13) (15, 16) (19, 4)
(10, 11) (12, 13) (15, 16) (24, 22)
(10, 11) (12, 13) (15, 16) (13, 7)
(10, 11) (12, 13) (15, 16) (19, 16)
(10, 11) (12, 13) (15, 16) (15, 12)
(10, 11) (12, 13) (15, 16) (8, 3)
(10, 11) (12, 13) (15, 16) (5, 0)
(10, 11) (12, 13) (15, 16) (4, 2)
(10, 11) (12, 13) (15, 16) (10, 9)
(10, 11) (12, 13) (11, 13) (2, 6)
(10, 11) (12, 13) (11, 13) (15, 18)
(10, 11) (12, 13) (11, 13) (2, 15)
(10, 11) (12, 13) (11, 13) (6, 19)
(10, 11) (12, 13) (11, 13) (11, 23)
(10, 11) (12, 13) (11, 13) (6, 24)
(10, 11) (12, 13) (11, 13) (22, 25)
(10, 11) (12, 13) (11, 13) (2, 27)
(10, 11) (12, 13) (11, 13) (11, 27)
(10, 11) (12, 13) (11, 13) (22, 26)
(10, 11) (12, 13) (11, 13) (5, 36)
(10, 11) (12, 13) (11, 13) (13, 32)
(10, 11) (12, 13) (11, 13) (5, 38)
(10, 11) (12, 13) (11, 13) (13, 34)
(10, 11) (12, 13) (11, 13) (7, 40)
(10, 11) (12, 13) (11, 13) (19, 30)
(10, 11) (12, 13) (11, 13) (4, 44)
(10, 11) (12, 13) (11, 13) (3, 45)
(10, 11) (12, 13) (11, 13) (3, 45)
(10, 11) (12, 13) (11, 13) (24, 26)
(10, 11) (12, 13) (11, 13) (20, 30)
(10, 11) (12, 13) (11, 13) (5, 48)
(10, 11) (12, 13) (11, 13) (16, 37)
(10, 11) (12, 13) (11, 13) (12, 43)
(10, 11) (12, 13) (11, 13) (16, 41)
(10, 11) (12, 13) (11, 13) (15, 44)
(10, 11) (12, 13) (11, 13) (19, 39)
(10, 11) (12, 13) (11, 13) (17, 45)
(10, 11) (12, 13) (11, 13) (20, 43)
(10, 11) (12, 13) (11, 13) (19, 47)
(10, 11) (12, 13) (11, 13) (21, 40)
(10, 11) (12, 13) (11, 13) (22, 42)
(10, 11) (12, 13) (11, 13) (26, 44)
(10, 11) (12, 13) (11, 13) (26, 36)
(10, 11) (12, 13) (11, 13) (28, 44)
(10, 11) (12, 13) (11, 13) (29, 49)
(10, 11) (12, 13) (11, 13) (29, 48)
(10, 11) (12, 13) (11, 13) (27, 35)
(10, 11) (12, 13) (11, 13) (31, 41)
(10, 11) (12, 13) (11, 13) (35, 45)
(10, 11) (12, 13) (11, 13) (35, 38)
(10, 11) (12, 13) (11, 13) (36, 37)
(10, 11) (12, 13) (11, 13) (38, 36)
(10, 11) (12, 13) (11, 13) (50, 46)
(10, 11) (12, 13) (11, 13) (50, 46)
(10, 11) (12, 13) (11, 13) (47, 41)
(10, 11) (12, 13) (11, 13) (37, 33)
(10, 11) (12, 13) (11, 13) (42, 36)
(10, 11) (12, 13) (11, 13) (38, 32)
(10, 11) (12, 13) (11, 13) (44, 33)
(10, 11) (12, 13) (11, 13) (45, 33)
(10, 11) (12, 13) (11, 13) (38, 29)
(10, 11) (12, 13) (11, 13) (37, 28)
(10, 11) (12, 13) (11, 13) (50, 29)
(10, 11) (12, 13) (11, 13) (34, 26)
(10, 11) (12, 13) (11, 13) (34, 25)
(10, 11) (12, 13) (11, 13) (35, 25)
(10, 11) (12, 13) (11, 13) (48, 22)
(10, 11) (12, 13) (11, 13) (31, 24)
(10, 11) (12, 13) (11, 13) (44, 20)
(10, 11) (12, 13) (11, 13) (42, 20)
(10, 11) (12, 13) (11, 13) (36, 19)
(10, 11) (12, 13) (11, 13) (45, 13)
(10, 11) (12, 13) (11, 13) (34, 19)
(10, 11) (12, 13) (11, 13) (50, 8)
(10, 11) (12, 13) (11, 13) (47, 6)
(10, 11) (12, 13) (11, 13) (33, 18)
(10, 11) (12, 13) (11, 13) (43, 6)
(10, 11) (12, 13) (11, 13) (37, 12)
(10, 11) (12, 13) (11, 13) (38, 9)
(10, 11) (12, 13) (11, 13) (42, 4)
(10, 11) (12, 13) (11, 13) (33, 15)
